ID,Category,Injection,Precondition,Required outcome,Latch/reset requirement,Evidence required,Desk status
HB-01,Heartbeat,Stop edges,RUN,Both coils drop no later than qualified heartbeat timeout,Latched; fresh validation plus manual reset,"heartbeat; WD1; coils; current traces",PENDING_LIVE
HB-02,Heartbeat,Hold input high,RUN,WD1 treats static level as invalid and trips,Latched; manual reset,"heartbeat; WD1; coils",PENDING_DUMMY_LOAD
HB-03,Heartbeat,Hold input low,RUN,WD1 treats static level as invalid and trips,Latched; manual reset,"heartbeat; WD1; coils",PENDING_DUMMY_LOAD
HB-04,Heartbeat,Frequency below valid window,RUN,WD1 trips within qualified budget,Latched; manual reset,"frequency; WD1; coils",PENDING_DUMMY_LOAD
HB-05,Heartbeat,Frequency above valid window or inject noise,RUN,WD1 rejects invalid waveform; no unsafe valid state,Latched if validity is lost,"waveform; WD1; coils",PENDING_DUMMY_LOAD
HB-06,Heartbeat,Provide fewer than six good startup cycles,START_WINDOW,Fixture never enters RUN and opens at startup deadline,Manual ARM required,"waveform; state; coils",PENDING_DUMMY_LOAD
HB-07,Heartbeat,Free-running heartbeat while control-loop freshness is intentionally withheld,Integration test,DCENT runtime stops heartbeat; fixture trips,Latched; software defect blocks release,"runtime logs; waveform; coils",PENDING_NATIVE_RUNTIME
TH-01,Temperature,Raise TH1 through provisional trip point,RUN,Both coils drop; TH2 cannot override TH1,Latched until below reset and manual reset,"calibrated TH1; limit relay; coils; thermal/current traces",PENDING_THERMAL
TH-02,Temperature,Raise TH2 through provisional trip point,RUN,Both coils drop; TH1 cannot override TH2,Latched until below reset and manual reset,"calibrated TH2; limit relay; coils; thermal/current traces",PENDING_THERMAL
TH-03,Temperature,Open TH1 leads,RUN,TH1 channel trips rather than reporting a safe temperature,Latched; repair and manual reset,"sensor resistance; limit relay; coils",PENDING_DUMMY_LOAD
TH-04,Temperature,Short TH1 leads,RUN,TH1 channel trips rather than reporting a safe temperature,Latched; repair and manual reset,"sensor resistance; limit relay; coils",PENDING_DUMMY_LOAD
TH-05,Temperature,Open TH2 leads,RUN,TH2 channel trips rather than reporting a safe temperature,Latched; repair and manual reset,"sensor resistance; limit relay; coils",PENDING_DUMMY_LOAD
TH-06,Temperature,Short TH2 leads,RUN,TH2 channel trips rather than reporting a safe temperature,Latched; repair and manual reset,"sensor resistance; limit relay; coils",PENDING_DUMMY_LOAD
TH-07,Temperature,Detach one sensor from its mounting point,RUN,Retention fault is prevented or channel disagreement/second sensor trips before unsafe temperature,Latched; inspection and manual reset,"mount inspection; both temperatures; current traces",PENDING_THERMAL
TH-08,Temperature,Begin ARM while unit is above reset threshold,SAFE_OFF,SR1 refuses contactor closure,Manual ARM only after cooldown,"temperatures; SR1; coil traces",PENDING_THERMAL
FAN-01,Fan,Block or unplug fan after RUN,RUN,FS1 trips and both coils drop within qualified thermal budget,Latched; inspection and manual reset,"fan frequency; temperatures; coils; current traces",PENDING_LIVE
FAN-02,Fan,Hold tach input high,RUN,FS1 treats static input as fault,Latched; manual reset,"tach waveform; FS1; coils",PENDING_DUMMY_LOAD
FAN-03,Fan,Hold tach input low,RUN,FS1 treats static input as fault,Latched; manual reset,"tach waveform; FS1; coils",PENDING_DUMMY_LOAD
FAN-04,Fan,Reduce fan speed below characterized minimum,RUN,FS1 trips before unsafe thermal limit,Latched; manual reset,"independent RPM; FS1; temperature/current traces",PENDING_THERMAL
FAN-05,Fan,Inject out-of-range/noisy pulses,RUN,FS1 does not accept noise as valid motion; hard thermal limit remains authoritative,Latched if validity is lost,"tach waveform; FS1; coils",PENDING_DUMMY_LOAD
FAN-06,Fan,Prevent fan startup,START_WINDOW,Hard temperature limit remains active; RUN is never reached; contacts open at deadline,Manual ARM after repair,"fan frequency; temperature; state; coils",PENDING_LIVE
CTL-01,Supervisor,Halt U1 clock or firmware,RUN,WD2/SR1 drops both coils,Latched; manual reset after controller recovers,"clock/retrigger; WD2; coils",PENDING_DUMMY_LOAD
CTL-02,Supervisor,Hold U1 healthy output active while stopping WD2 retrigger,RUN,WD2 independently drops authorization,Latched; manual reset,"U1 output; WD2; coils",PENDING_DUMMY_LOAD
CTL-03,Supervisor,Reset U1 repeatedly,RUN,No reset transient energizes either contactor; fixture reaches TRIPPED or SAFE_OFF,Manual ARM required,"U1 reset; SR1; coil traces",PENDING_DUMMY_LOAD
CTL-04,Management,Make SSH HTTP and miner API unresponsive while hashing continues,RUN,Physical heartbeat must expire unless full custody loop remains fresh; independent temperature/fan trips retain authority,Latched on lost heartbeat or physical fault,"services; heartbeat; temperatures; fan; current/hash traces",PENDING_LIVE
CTL-05,Network,Disconnect Wi-Fi and Ethernet while control loop remains healthy,RUN,Network loss alone is not a safety trip; any resulting custody loss expires heartbeat,Depends on resulting fault,"network; heartbeat; temperatures; fan",PENDING_LIVE
CTL-06,Mining,Disconnect pool while thermal custody remains healthy,RUN,Pool/share state does not authorize or revoke safety; physical channels remain authoritative,No safety reset solely for pool loss,"pool; heartbeat; temperatures; fan",PENDING_LIVE
CTL-07,UART,Interrupt K230-to-mining-controller communications,RUN,Runtime stops heartbeat on controller-custody loss; fixture opens,Latched; manual reset,"UART fault; heartbeat; coils; current/hash traces",PENDING_NATIVE_RUNTIME
BOOT-01,Startup,Cold boot Nano through fixture,START_WINDOW,Heartbeat and fan become valid before qualified deadlines or fixture opens; hard temp always active,Manual ARM if deadline missed,"boot log; heartbeat; fan; temperature; coils",PENDING_LIVE
BOOT-02,Startup,Warm boot Nano through fixture,START_WINDOW,Same safe bounded result as cold boot,Manual ARM if deadline missed,"boot log; heartbeat; fan; temperature; coils",PENDING_LIVE
BOOT-03,Startup,Start at worst-case allowed hot temperature,START_WINDOW,No unsafe excursion before RUN or cutoff,Manual ARM if any deadline/limit trips,"calibrated temperatures; fan; heartbeat; current/hash traces",PENDING_THERMAL
BOOT-04,Startup,Hold KT1 startup contact closed after its timeout,START_WINDOW,KT2 expires and SR1 drops both coils; channel discrepancy is reported,Latched; timer repair required,"KT1/KT2 contacts; SR1 channels; coils",PENDING_DUMMY_LOAD
BOOT-05,Startup,Hold KT2 startup contact closed after its timeout,START_WINDOW,KT1 expires and SR1 drops both coils; channel discrepancy is reported,Latched; timer repair required,"KT1/KT2 contacts; SR1 channels; coils",PENDING_DUMMY_LOAD
BOOT-06,Startup,Attempt to retrigger either startup timer while contactors are closed,START_WINDOW or RUN,Timer cannot extend the boot grace; heartbeat/fan path must take custody or both coils drop,Manual ARM only from proved-open state,"timer trigger; EDM; SR1 channels; coils",PENDING_DUMMY_LOAD
RST-01,Reset,Hold the RESET/ARM input active through a RUN fault and restoration,RUN then trip,SR1 clears its run latch and rejects the maintained input; neither contactor re-energizes until a new post-repair edge follows open-pole proof,Release input then deliberate manual ARM,"reset input; SR1 state; K1/K2 mirror; coil and output-voltage traces",PENDING_DUMMY_LOAD
EDM-01,Contactor feedback,Prevent K1 mirror contact from making the expected pickup or release transition,SELF_TEST then trip,SR1 detects the state-dependent discrepancy drops both outputs and refuses re-arm,Repair required; reset refused until both commanded-state transitions pass,"K1 command; K1 mirror; K1/K2 main contacts; SR1 state; coils",PENDING_DUMMY_LOAD
EDM-02,Contactor feedback,Prevent K2 mirror contact from making the expected pickup or release transition,SELF_TEST then trip,SR1 detects the state-dependent discrepancy drops both outputs and refuses re-arm,Repair required; reset refused until both commanded-state transitions pass,"K2 command; K2 mirror; K1/K2 main contacts; SR1 state; coils",PENDING_DUMMY_LOAD
DIAG-01,Diagnostic isolation,Apply every supported and malformed input at J10 while SAFE_OFF and RUN,SAFE_OFF then RUN,Diagnostic input cannot reset start extend the startup window assert either safety input or energize either coil; malformed traffic may only be ignored or trip,Manual ARM remains the only start path,"J10 traffic; isolated interface state; SR1 inputs; startup timers; coils",PENDING_DUMMY_LOAD
CUT-01,Cutoff correlation,Trip each independent safety input while hashing,RUN,Input current falls to measured off baseline; candidate ASIC rail falls below defined off threshold; valid hashing ceases within qualified budget,Manual reset after cause clears,"synchronized safety; current; rail; stratum/nonce traces",PENDING_LIVE
CUT-02,Cutoff thermal coast,Trip whole-device contactors at the worst-case qualified hot-soak point,RUN,Hashing and fan stop; independently measured passive temperature overshoot and peak remain below reviewed component/material limits with margin or whole-device cutoff is rejected for production,Manual reset only after temperature is below reset threshold,"synchronized contact; current; fan; TH1/TH2 and mapped hot-spot coast-down traces",PENDING_THERMAL
SOAK-01,Endurance,Operate at qualified ambient/load for production soak,RUN,No missed faults; no contact overheating; thermal/fan/heartbeat margins remain valid,No reset unless fault,"calibrated thermal; electrical; waveform; log records",PENDING_LIVE
EMI-01,Robustness,Apply qualified conducted/radiated noise to low-voltage sensor wiring,Dummy load then attended Nano,Noise cannot create false healthy state; nuisance trip is recorded and investigated,Manual reset after trip,"test setup; waveforms; state; coils",PENDING_LAB
MIS-01,Miswire,Disconnect or swap each keyed low-voltage field connector,SAFE_OFF and RUN where safe,Fixture refuses arm or trips; no miswire energizes coils,Manual reset after correct wiring,"connector state; SR1; coils",PENDING_DUMMY_LOAD
